movej	,0.1	,0.2	,0.74036	,0.0946996	,0.0710172	,-1.47544	,-1.65144	,-0.713714	,0.284806
movej	,0.1	,0.2	,0.74036	,0.0946996	,0.0710172	,-1.47544	,-0.927732	,-0.713714	,0.284806
movej	,0.1	,0.2	,0.74036	,0.0946996	,0.0710172	,-1.47544	,-0.927732	,-1.0573	,0.284806
movej	,0.1	,0.2	,0.74036	,0.0946996	,0.0710172	,-1.47544	,-0.683553	,-1.0573	,0.284806
movej	,0.1	,0.2	,0.74036	,0.0946996	,0.0710172	,-1.47544	,-0.683553	,-1.21687	,0.284806
movej	,0.1	,0.2	,0.74036	,0.604962	,0.0710172	,-1.74042	,-0.472123	,-1.21687	,0.284806
movej	,0.1	,0.2	,0.74036	,0.604962	,0.0710172	,-1.81063	,-0.2311	,-1.55845	,0.284806
movej	,0.1	,0.2	,0.74036	,0.604962	,0.0710172	,-1.7356	,-0.2311	,-1.82792	,0.284806
movej	,0.1	,0.2	,0.74036	,0.362538	,0.0710172	,-1.7356	,-0.2311	,-1.82792	,0.284806
movej	,0.1	,0.2	,0.602411	,0.362538	,0.0710172	,-1.62546	,-0.2311	,-2.05854	,0.284806
movej	,0.1	,0.2	,0.185522	,0.362538	,0.0710172	,-1.62546	,-0.130937	,-2.05854	,0.284806
movej	,0.1	,0.2	,0.0	,0.371926	,0	,-1.76311	,0	,-1.9602	,0